Country,Location_name,Region,Latitude,Longitude,Avg_temp,total_rainfall,Avg_humidity,Crop,Season,Average_Yield
India,Raisen,Madhya Pradesh,23.33,77.8,21.69941177,18.9,68,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.79941177,18.9,65,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.74941177,18.9,55,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.89941177,18.9,54,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.59941177,18.9,47,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,23.14941177,18.9,44,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.59941177,18.9,50,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.89941177,18.9,74,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,22.14941177,18.9,69,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.74941177,18.9,65,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.34941177,18.9,52,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.04941177,18.9,50,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,21.39941177,18.9,40,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.84941177,18.9,54,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.59941177,18.9,51,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.44941177,18.9,45,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.69941177,18.9,43,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.44941177,18.9,44,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.09941177,18.9,41,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.24941177,18.9,41,Wheat,Rabi       ,1450
India,Raisen,Madhya Pradesh,23.33,77.8,20.64941177,18.9,60,Wheat,Rabi       ,1450
India,Chhindwara,Madhya Pradesh,22.07,78.93,25.1081044,3510.9,70,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,24.4581044,3510.9,75,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.6581044,3510.9,75,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.2081044,3510.9,74,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.4581044,3510.9,77,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.8581044,3510.9,78,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.8581044,3510.9,75,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.6081044,3510.9,74,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.4081044,3510.9,88,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.1081044,3510.9,92,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.0081044,3510.9,96,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.3081044,3510.9,97,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.2081044,3510.9,96,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.4081044,3510.9,86,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.4581044,3510.9,84,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.0581044,3510.9,83,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.9581044,3510.9,95,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.9081044,3510.9,97,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.6081044,3510.9,98,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,21.4081044,3510.9,98,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.1081044,3510.9,93,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.6581044,3510.9,87,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.2081044,3510.9,90,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.2581044,3510.9,91,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.0081044,3510.9,92,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.1581044,3510.9,92,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.9581044,3510.9,91,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.7581044,3510.9,91,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.8081044,3510.9,87,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.9081044,3510.9,85,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.9081044,3510.9,86,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.9581044,3510.9,86,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.0581044,3510.9,90,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.9581044,3510.9,75,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.6081044,3510.9,75,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.4581044,3510.9,83,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,21.6081044,3510.9,61,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,21.5081044,3510.9,66,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,21.3081044,3510.9,59,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.0581044,3510.9,75,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.5081044,3510.9,72,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.4581044,3510.9,73,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.2581044,3510.9,65,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.6081044,3510.9,64,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.6081044,3510.9,56,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.7581044,3510.9,52,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.7081044,3510.9,51,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,23.1581044,3510.9,58,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.7581044,3510.9,58,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.3081044,3510.9,70,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,22.1581044,3510.9,65,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,21.8581044,3510.9,69,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,21.5581044,3510.9,76,Sugarcane,Whole Year ,1550
